soil_type,land_area,location,budget,water_availability,crop
black,15.1,Bengaluru,133638,high,maize
loamy,17.7,Vijayawada,174504,high,rice
clay,16.3,Hyderabad,155687,medium,rice
red,2.4,Delhi,30363,high,rice
red,13.1,Delhi,41794,medium,millet
red,18.5,Pune,212986,medium,cotton
loamy,2.5,Delhi,20033,medium,potato
loamy,8.0,Vijayawada,70032,medium,tomato
black,5.1,Warangal,34701,medium,maize
black,13.7,Pune,93935,high,maize
loamy,2.4,Pune,10272,high,maize
loamy,3.0,Warangal,31648,medium,chilli
loamy,17.2,Vijayawada,266978,medium,chilli
loamy,15.9,Pune,59647,medium,maize
sandy,8.9,Pune,40656,medium,millet
clay,6.0,Warangal,44629,low,potato
sandy,8.4,Nashik,42104,medium,onion
black,7.0,Lucknow,57040,medium,soybean
red,15.7,Delhi,72483,medium,millet
loamy,3.7,Lucknow,27243,medium,wheat
loamy,14.1,Bengaluru,132523,low,tomato
clay,18.8,Hyderabad,182141,high,rice
black,3.9,Nashik,41549,medium,soybean
loamy,4.8,Vijayawada,43721,medium,tomato
loamy,14.1,Pune,146239,medium,onion
loamy,11.2,Hyderabad,59236,medium,maize
black,7.2,Warangal,87965,medium,cotton
loamy,18.6,Hyderabad,141825,medium,maize
black,9.2,Nashik,70002,medium,soybean
loamy,12.6,Lucknow,125972,medium,potato
loamy,10.6,Bengaluru,115402,medium,tomato
red,9.2,Vijayawada,128450,medium,chilli
sandy,10.6,Warangal,44988,low,groundnut
loamy,10.7,Warangal,89993,medium,maize
black,14.5,Warangal,216415,medium,cotton
clay,9.0,Vijayawada,65203,medium,rice
loamy,17.3,Bengaluru,260444,medium,chilli
sandy,8.8,Warangal,61388,low,groundnut
sandy,11.3,Delhi,146777,medium,potato
red,14.6,Nashik,108437,low,groundnut
black,4.2,Bengaluru,31494,high,maize
sandy,12.7,Delhi,62704,low,millet
black,13.8,Nashik,89214,medium,soybean
red,9.5,Warangal,130535,medium,chilli
red,9.3,Bengaluru,111518,medium,chilli
black,6.8,Hyderabad,68841,medium,soybean
red,10.7,Vijayawada,124278,medium,chilli
clay,16.9,Delhi,135673,low,soybean
clay,8.2,Delhi,98308,low,onion
loamy,4.2,Nashik,21271,medium,soybean
red,17.9,Vijayawada,183295,medium,chilli
loamy,11.5,Hyderabad,128795,medium,rice
loamy,3.0,Bengaluru,27934,medium,rice
black,16.5,Nashik,236339,medium,cotton
sandy,8.9,Vijayawada,56862,medium,onion
red,1.9,Warangal,16376,medium,cotton
red,4.9,Pune,28953,low,millet
sandy,13.6,Pune,65323,medium,millet
sandy,11.1,Nashik,34718,medium,groundnut
loamy,9.1,Warangal,74032,medium,maize
loamy,12.3,Lucknow,102136,medium,wheat
clay,16.6,Vijayawada,231553,medium,rice
sandy,18.3,Jaipur,51715,medium,millet
loamy,4.5,Nashik,35046,medium,soybean
loamy,9.4,Pune,50239,high,maize
clay,14.0,Vijayawada,139706,medium,rice
sandy,16.7,Delhi,52083,medium,millet
red,7.3,Hyderabad,65381,medium,cotton
sandy,13.5,Jaipur,49040,low,millet
sandy,13.0,Jaipur,91548,high,wheat
loamy,11.6,Pune,107058,medium,potato
red,4.2,Warangal,65773,medium,chilli
red,10.3,Delhi,29923,low,millet
black,13.1,Nashik,69982,medium,soybean
sandy,10.0,Delhi,49760,medium,millet
red,3.1,Delhi,14914,low,millet
loamy,18.1,Lucknow,170270,medium,potato
black,11.1,Warangal,121134,medium,cotton
loamy,9.1,Nashik,118527,medium,tomato
loamy,10.0,Vijayawada,82818,high,rice
clay,4.4,Vijayawada,65862,high,rice
loamy,10.2,Pune,84370,medium,potato
loamy,6.3,Pune,71001,medium,onion
loamy,16.4,Vijayawada,227123,high,tomato
clay,12.2,Bengaluru,126052,low,soybean
loamy,12.6,Nashik,137813,medium,soybean
black,11.5,Pune,61133,medium,soybean
loamy,14.4,Pune,150644,medium,potato
sandy,15.0,Nashik,132960,medium,onion
sandy,11.7,Vijayawada,115347,medium,onion
black,10.8,Nashik,58397,medium,millet
sandy,12.1,Vijayawada,71832,low,wheat
loamy,13.1,Pune,156298,medium,onion
black,19.3,Nashik,249649,low,potato
clay,4.0,Delhi,21011,low,millet
sandy,5.0,Vijayawada,49263,low,tomato
sandy,19.7,Nashik,161957,medium,onion
sandy,9.9,Nashik,80249,medium,onion
loamy,16.6,Vijayawada,226925,medium,rice
red,15.6,Pune,48718,low,millet
loamy,5.6,Warangal,53720,medium,chilli
black,13.3,Hyderabad,107841,medium,soybean
sandy,11.1,Jaipur,63951,medium,millet
loamy,3.6,Pune,33464,medium,onion
black,10.4,Warangal,145375,medium,cotton
loamy,10.7,Nashik,105337,high,tomato
black,2.1,Nashik,13830,medium,soybean
clay,6.5,Hyderabad,70242,medium,rice
red,11.8,Vijayawada,131426,medium,chilli
sandy,19.2,Delhi,74910,low,millet
black,1.5,Nashik,12279,medium,soybean
black,5.7,Bengaluru,22974,high,maize
black,2.5,Hyderabad,12878,high,maize
loamy,16.5,Jaipur,154895,medium,wheat
red,13.7,Warangal,52270,low,groundnut
sandy,9.0,Nashik,76149,medium,onion
loamy,9.6,Vijayawada,99809,high,tomato
loamy,11.9,Nashik,62870,medium,onion
clay,12.9,Bengaluru,230755,medium,rice
loamy,6.1,Bengaluru,77307,medium,rice
red,11.2,Pune,41527,low,millet
loamy,13.2,Delhi,100639,medium,potato
red,15.7,Warangal,185347,low,tomato
loamy,9.9,Bengaluru,123425,high,rice
loamy,10.0,Warangal,133044,medium,chilli
sandy,18.3,Hyderabad,254926,low,rice
red,3.5,Jaipur,19499,low,millet
sandy,18.0,Jaipur,122731,medium,groundnut
loamy,15.4,Nashik,90518,medium,soybean
loamy,8.1,Delhi,63335,medium,wheat
sandy,2.9,Jaipur,50361,low,cotton
loamy,14.9,Lucknow,210131,medium,chilli
sandy,4.4,Vijayawada,45464,medium,onion
clay,16.8,Vijayawada,147772,low,wheat
loamy,12.8,Warangal,120499,medium,chilli
clay,2.0,Hyderabad,30023,medium,rice
clay,18.8,Bengaluru,273656,medium,rice
loamy,14.7,Pune,106951,high,maize
loamy,10.0,Delhi,51306,medium,wheat
sandy,16.2,Jaipur,46895,medium,millet
clay,15.3,Bengaluru,184343,high,rice
loamy,16.4,Hyderabad,121861,high,rice
loamy,4.5,Hyderabad,33996,medium,soybean
clay,3.1,Pune,48808,medium,rice
loamy,6.8,Delhi,41360,medium,potato
loamy,4.5,Bengaluru,43674,medium,tomato
black,18.3,Pune,114254,medium,maize
sandy,16.6,Nashik,79344,low,groundnut
black,9.0,Hyderabad,78564,high,potato
loamy,13.4,Warangal,189805,medium,chilli
red,12.1,Vijayawada,86210,low,soybean
sandy,3.1,Jaipur,8359,low,millet
loamy,14.9,Pune,151598,medium,onion
clay,18.3,Lucknow,194148,medium,onion
loamy,10.5,Pune,84373,medium,onion
red,16.6,Nashik,131302,low,groundnut
red,17.1,Hyderabad,195480,low,onion
black,14.8,Warangal,98351,medium,maize
loamy,19.6,Vijayawada,148705,medium,onion
red,3.2,Warangal,10419,medium,groundnut
black,14.6,Pune,114303,medium,soybean
loamy,18.8,Bengaluru,291907,high,rice
clay,5.1,Hyderabad,49766,medium,maize
clay,8.7,Vijayawada,137014,high,rice
black,8.7,Warangal,83432,medium,cotton
loamy,3.9,Bengaluru,61889,medium,rice
red,19.0,Hyderabad,365058,medium,cotton
black,7.4,Pune,63272,medium,soybean
sandy,5.7,Delhi,67475,high,onion
clay,2.8,Hyderabad,32748,high,rice
sandy,13.6,Lucknow,123980,low,cotton
sandy,19.3,Vijayawada,132297,medium,onion
sandy,2.3,Nashik,6396,low,groundnut
black,7.1,Hyderabad,95057,medium,cotton
loamy,17.4,Hyderabad,188553,medium,soybean
loamy,17.7,Nashik,251619,medium,tomato
red,10.8,Lucknow,80492,low,rice
clay,1.6,Vijayawada,17339,low,soybean
sandy,5.3,Delhi,27519,medium,millet
sandy,7.5,Delhi,18777,medium,millet
loamy,19.1,Lucknow,170203,medium,potato
loamy,15.9,Vijayawada,153361,medium,onion
sandy,1.6,Pune,7368,medium,millet
loamy,2.0,Delhi,23179,medium,potato
loamy,17.7,Warangal,74233,high,maize
loamy,1.6,Warangal,10078,high,maize
clay,15.3,Jaipur,119639,low,groundnut
clay,17.6,Delhi,308140,medium,cotton
loamy,8.3,Vijayawada,89907,medium,chilli
loamy,14.7,Hyderabad,89517,medium,rice
clay,11.6,Vijayawada,132249,medium,chilli
loamy,15.2,Nashik,169723,medium,tomato
loamy,17.1,Jaipur,68824,medium,maize
black,17.8,Vijayawada,204956,low,tomato
black,16.8,Pune,182216,high,tomato
loamy,19.5,Vijayawada,159841,medium,chilli
clay,5.5,Jaipur,42748,high,wheat
clay,15.0,Pune,116373,low,groundnut
loamy,9.2,Nashik,104949,medium,tomato
red,4.3,Warangal,20136,low,groundnut
loamy,2.9,Vijayawada,23642,high,tomato
black,1.0,Hyderabad,5961,medium,soybean
red,6.5,Vijayawada,109691,medium,chilli
sandy,9.0,Lucknow,77702,high,onion
black,19.9,Hyderabad,183326,medium,rice
black,2.6,Pune,21586,high,maize
loamy,15.1,Bengaluru,65440,medium,maize
loamy,13.2,Nashik,83384,medium,onion
loamy,3.0,Nashik,15420,medium,onion
loamy,1.3,Lucknow,12503,medium,potato
black,10.4,Bengaluru,38488,low,groundnut
loamy,17.8,Delhi,123140,medium,wheat
black,6.4,Hyderabad,29731,medium,maize
red,4.9,Warangal,79576,medium,chilli
loamy,18.5,Pune,139945,medium,potato
sandy,12.4,Pune,84362,medium,onion
clay,11.5,Vijayawada,84943,high,rice
sandy,17.7,Nashik,135546,medium,onion
loamy,11.2,Nashik,91994,medium,soybean
loamy,3.0,Delhi,34484,medium,potato
clay,8.0,Bengaluru,123790,high,rice
sandy,6.6,Jaipur,24310,low,millet
black,12.1,Pune,113759,medium,maize
loamy,10.0,Bengaluru,104022,high,tomato
clay,17.1,Delhi,146235,low,tomato
sandy,16.9,Delhi,39880,low,millet
black,4.8,Hyderabad,26753,low,groundnut
red,12.8,Vijayawada,107957,medium,rice
red,6.7,Warangal,72953,medium,cotton
loamy,2.9,Lucknow,23190,medium,wheat
loamy,5.7,Lucknow,58703,medium,wheat
red,2.8,Bengaluru,33771,medium,chilli
sandy,19.9,Delhi,94652,medium,millet
loamy,7.4,Delhi,90225,medium,potato
loamy,5.4,Pune,44263,medium,wheat
red,8.2,Delhi,35868,low,millet
red,6.6,Warangal,85962,medium,chilli
red,1.7,Warangal,10253,medium,groundnut
loamy,3.3,Jaipur,22575,medium,wheat
black,2.2,Bengaluru,29274,high,tomato
loamy,16.6,Delhi,122458,medium,wheat
red,4.1,Nashik,17165,medium,groundnut
black,11.5,Pune,113339,high,maize
black,9.5,Delhi,44106,medium,groundnut
loamy,14.8,Nashik,134256,high,tomato
loamy,11.1,Vijayawada,95939,high,tomato
red,10.8,Delhi,58274,low,onion
red,7.4,Bengaluru,54105,high,onion
red,18.9,Delhi,40944,low,millet
loamy,19.2,Hyderabad,148608,medium,soybean
red,14.0,Delhi,28809,medium,millet
sandy,14.5,Pune,104069,medium,millet
red,15.8,Pune,34459,low,millet
sandy,3.5,Jaipur,19730,medium,groundnut
black,15.5,Pune,221950,medium,cotton
black,4.1,Warangal,51029,medium,potato
red,12.0,Warangal,64874,low,groundnut
black,12.1,Hyderabad,188561,medium,cotton
loamy,4.5,Warangal,19668,high,maize
loamy,2.4,Bengaluru,33986,medium,tomato
sandy,17.9,Warangal,217739,low,potato
sandy,4.5,Pune,61404,low,rice
loamy,4.0,Pune,39285,medium,potato
red,19.2,Nashik,58268,low,groundnut
clay,7.2,Hyderabad,69500,medium,rice
black,15.4,Nashik,147719,medium,soybean
loamy,7.6,Warangal,71353,medium,maize
clay,9.6,Hyderabad,111761,high,rice
loamy,7.8,Warangal,118932,medium,chilli
red,10.6,Warangal,147687,medium,cotton
loamy,17.1,Vijayawada,208537,medium,onion
loamy,4.2,Bengaluru,34655,high,rice
clay,11.9,Hyderabad,103092,low,wheat
loamy,4.3,Vijayawada,36644,high,rice
loamy,13.4,Pune,124695,medium,maize
sandy,7.2,Pune,24059,low,millet
loamy,14.2,Lucknow,214888,medium,chilli
black,18.5,Pune,230202,medium,cotton
black,11.2,Nashik,97419,medium,soybean
loamy,12.0,Vijayawada,110227,medium,chilli
loamy,3.7,Pune,24152,medium,potato
loamy,6.3,Delhi,63313,medium,potato
black,18.1,Pune,112538,low,wheat
sandy,14.4,Jaipur,66124,low,millet
loamy,10.0,Jaipur,103474,medium,wheat
black,14.3,Bengaluru,51534,high,maize
loamy,4.0,Pune,20117,medium,soybean
clay,14.4,Pune,83528,low,onion
loamy,6.1,Lucknow,31293,medium,wheat
loamy,17.2,Pune,167813,high,maize
black,19.5,Vijayawada,183690,high,potato
red,5.5,Jaipur,14367,low,millet
red,19.4,Nashik,81126,low,groundnut
red,8.3,Jaipur,48365,medium,groundnut
black,11.6,Pune,102769,medium,soybean
sandy,13.6,Delhi,68845,low,millet
loamy,16.8,Vijayawada,233708,high,tomato
sandy,16.0,Vijayawada,180204,medium,onion
clay,15.8,Vijayawada,120753,medium,rice
sandy,12.1,Pune,53796,medium,millet
loamy,11.1,Hyderabad,45026,medium,maize
red,8.8,Delhi,43391,low,millet
black,5.7,Pune,54962,medium,soybean
sandy,8.9,Jaipur,62015,low,groundnut
black,6.0,Vijayawada,40117,low,maize
sandy,2.3,Nashik,11086,high,millet
sandy,15.4,Nashik,53755,low,groundnut
loamy,4.0,Hyderabad,36231,medium,soybean
loamy,1.4,Lucknow,9258,medium,potato
sandy,3.1,Pune,31751,medium,onion
loamy,5.1,Vijayawada,49476,medium,chilli
sandy,4.3,Nashik,39848,medium,onion
red,4.9,Nashik,13181,medium,groundnut
black,19.3,Nashik,226018,medium,cotton
sandy,16.5,Warangal,87232,low,groundnut
loamy,18.0,Vijayawada,199450,medium,wheat
sandy,12.5,Pune,96647,medium,onion
loamy,7.2,Bengaluru,66965,high,maize
red,11.7,Jaipur,61307,low,millet
loamy,9.5,Pune,55869,medium,maize
sandy,9.1,Jaipur,40360,medium,groundnut
red,1.2,Delhi,6884,medium,millet
red,8.9,Bengaluru,30055,medium,millet
loamy,14.4,Pune,120669,medium,soybean
loamy,10.2,Jaipur,118479,medium,wheat
red,12.5,Jaipur,63817,medium,groundnut
loamy,9.1,Bengaluru,63861,medium,rice
red,19.2,Warangal,85547,low,groundnut
loamy,2.6,Nashik,26501,medium,onion
clay,13.9,Pune,143008,medium,potato
loamy,10.9,Bengaluru,103144,medium,tomato
loamy,14.2,Nashik,155277,medium,onion
sandy,9.6,Pune,69045,high,soybean
sandy,9.1,Pune,94629,medium,onion
loamy,9.1,Bengaluru,44690,high,millet
loamy,1.4,Pune,15074,medium,onion
loamy,17.9,Nashik,168328,medium,tomato
clay,13.3,Hyderabad,169035,low,potato
loamy,11.9,Bengaluru,156720,medium,tomato
black,7.0,Hyderabad,58207,medium,cotton
loamy,3.2,Bengaluru,31390,medium,chilli
loamy,9.4,Pune,105862,medium,potato
loamy,12.0,Nashik,147261,medium,tomato
sandy,15.6,Bengaluru,243438,medium,chilli
sandy,11.7,Lucknow,82995,high,onion
loamy,18.4,Bengaluru,150607,medium,tomato
clay,4.0,Hyderabad,45244,medium,rice
black,19.8,Pune,243219,medium,cotton
black,19.6,Nashik,197560,medium,soybean
loamy,4.6,Lucknow,52137,medium,potato
sandy,13.5,Jaipur,74258,medium,millet
loamy,3.1,Warangal,43730,high,cotton
loamy,13.6,Pune,145743,medium,potato
loamy,18.5,Vijayawada,339160,medium,chilli
loamy,3.2,Warangal,28548,medium,chilli
loamy,1.9,Pune,12459,medium,rice
loamy,11.0,Vijayawada,88972,high,rice
red,11.0,Pune,115044,low,soybean
loamy,12.0,Hyderabad,153211,medium,rice
loamy,9.0,Jaipur,34255,high,millet
loamy,8.7,Hyderabad,71754,medium,rice
loamy,9.7,Warangal,54061,medium,maize
loamy,6.3,Warangal,104256,medium,chilli
red,18.1,Nashik,245312,medium,cotton
loamy,8.1,Lucknow,57730,medium,wheat
loamy,1.2,Nashik,15612,medium,tomato
red,8.2,Delhi,47318,medium,onion
loamy,15.5,Delhi,157653,medium,potato
red,15.3,Nashik,88504,low,groundnut
clay,17.0,Hyderabad,135459,medium,onion
loamy,10.8,Vijayawada,113957,medium,onion
black,9.1,Vijayawada,34647,medium,groundnut
loamy,8.1,Bengaluru,118839,high,tomato
red,5.9,Jaipur,46640,low,groundnut
black,1.2,Nashik,10432,medium,soybean
loamy,12.6,Nashik,125362,high,tomato
red,16.0,Vijayawada,172902,high,soybean
sandy,10.4,Pune,122168,medium,onion
loamy,11.0,Nashik,63751,medium,soybean
clay,11.0,Hyderabad,113198,high,rice
red,1.6,Vijayawada,15443,low,cotton
loamy,19.2,Pune,103011,medium,wheat
sandy,5.1,Warangal,31898,low,groundnut
loamy,12.2,Jaipur,136166,medium,wheat
sandy,13.7,Pune,97187,medium,onion
loamy,5.4,Pune,23567,high,maize
red,12.8,Hyderabad,187491,medium,cotton
red,13.3,Nashik,63778,low,groundnut
sandy,5.7,Jaipur,29100,low,millet
clay,7.3,Hyderabad,94146,medium,rice
loamy,6.8,Delhi,62894,medium,potato
sandy,10.2,Jaipur,35449,medium,groundnut
loamy,10.4,Pune,55531,medium,soybean
red,15.4,Warangal,168768,medium,chilli
loamy,12.4,Bengaluru,176047,medium,chilli
loamy,6.7,Jaipur,73862,medium,wheat
clay,1.0,Jaipur,5878,medium,maize
sandy,3.4,Nashik,22110,medium,groundnut
black,15.8,Hyderabad,212039,medium,cotton
loamy,2.7,Hyderabad,24283,medium,soybean
loamy,8.3,Nashik,74934,high,cotton
sandy,11.3,Nashik,34006,medium,groundnut
loamy,16.2,Pune,136326,medium,wheat
loamy,16.6,Bengaluru,126402,medium,tomato
loamy,18.0,Hyderabad,277117,high,rice
loamy,11.3,Jaipur,82894,medium,wheat
red,8.1,Warangal,69036,medium,chilli
sandy,1.2,Vijayawada,12996,medium,onion
loamy,14.5,Bengaluru,155184,medium,tomato
loamy,18.7,Delhi,181988,medium,cotton
clay,15.5,Hyderabad,103031,medium,soybean
loamy,13.9,Vijayawada,127941,medium,tomato
loamy,13.9,Jaipur,83867,medium,wheat
black,11.5,Warangal,71267,low,maize
loamy,3.1,Nashik,23076,medium,onion
red,1.3,Bengaluru,20504,medium,chilli
red,14.5,Hyderabad,212259,medium,cotton
sandy,15.3,Nashik,65621,low,groundnut
sandy,9.0,Nashik,41383,medium,groundnut
black,14.4,Delhi,120335,low,potato
black,8.3,Pune,42238,medium,soybean
loamy,18.2,Pune,197968,medium,onion
sandy,8.5,Pune,68848,medium,onion
clay,13.3,Vijayawada,166694,low,tomato
loamy,12.3,Nashik,120980,medium,tomato
loamy,12.6,Pune,80524,medium,maize
sandy,12.4,Delhi,70992,medium,millet
red,12.8,Vijayawada,168235,high,cotton
loamy,5.9,Pune,68261,medium,onion
red,11.6,Hyderabad,59050,low,groundnut
loamy,11.6,Pune,97059,medium,soybean
red,6.4,Bengaluru,80592,medium,chilli
red,14.0,Jaipur,57399,medium,groundnut
black,1.2,Hyderabad,10300,medium,maize
loamy,9.5,Bengaluru,133957,medium,tomato
sandy,7.7,Warangal,23908,medium,groundnut
loamy,2.3,Delhi,18254,medium,wheat
black,2.0,Hyderabad,18461,medium,cotton
loamy,2.4,Nashik,17638,medium,onion
red,19.4,Nashik,169594,medium,cotton
red,9.7,Pune,22859,medium,millet
sandy,8.6,Lucknow,78913,high,soybean
black,17.8,Bengaluru,103521,high,groundnut
sandy,19.1,Pune,210657,medium,onion
sandy,11.3,Jaipur,41984,low,millet
sandy,7.8,Vijayawada,79160,high,cotton
loamy,14.0,Pune,171906,medium,potato
red,11.7,Nashik,99721,medium,cotton
loamy,12.3,Bengaluru,79512,high,maize
black,5.3,Pune,37740,high,maize
loamy,1.4,Vijayawada,11372,low,onion
loamy,16.2,Pune,121107,medium,wheat
loamy,12.5,Pune,143540,medium,onion
loamy,17.0,Pune,159113,medium,onion
red,14.1,Delhi,58100,low,millet
black,8.5,Pune,42709,medium,soybean
loamy,9.2,Vijayawada,38711,high,groundnut
loamy,5.1,Vijayawada,70840,medium,chilli
loamy,1.5,Pune,13373,medium,wheat
loamy,7.4,Lucknow,81106,medium,potato
red,16.7,Pune,64882,low,millet
red,13.8,Warangal,200124,medium,chilli
loamy,8.1,Bengaluru,104839,medium,tomato
black,8.7,Hyderabad,56762,low,rice
sandy,6.4,Pune,66529,medium,onion
loamy,14.3,Lucknow,210189,medium,potato
loamy,9.1,Nashik,93187,medium,soybean
loamy,14.3,Pune,152729,medium,soybean
red,15.2,Vijayawada,164728,medium,chilli
loamy,11.4,Pune,64533,medium,soybean
sandy,11.7,Warangal,109036,high,onion
sandy,9.6,Pune,23806,low,millet
loamy,17.9,Bengaluru,106812,high,maize
red,2.2,Bengaluru,32133,medium,chilli
loamy,11.4,Nashik,124275,medium,onion
loamy,14.3,Delhi,183669,medium,potato
red,19.6,Hyderabad,235396,medium,cotton
loamy,10.8,Pune,107298,medium,soybean
red,19.5,Warangal,329358,medium,chilli
black,16.9,Bengaluru,100058,low,soybean
loamy,1.1,Hyderabad,12139,medium,rice
loamy,6.3,Vijayawada,85929,high,tomato
loamy,2.9,Delhi,31916,medium,potato
black,11.0,Warangal,44492,high,maize
red,8.9,Delhi,21151,low,millet
sandy,2.3,Jaipur,7788,low,millet
sandy,4.8,Nashik,29785,medium,onion
black,17.5,Lucknow,194925,low,tomato
loamy,16.4,Jaipur,91056,medium,wheat
sandy,14.2,Jaipur,58731,medium,groundnut
loamy,5.0,Bengaluru,48217,high,rice
red,17.5,Bengaluru,249095,medium,chilli
loamy,3.1,Nashik,18604,medium,soybean
red,4.9,Delhi,25104,low,millet
loamy,10.5,Vijayawada,75448,high,tomato
red,12.9,Hyderabad,160143,medium,chilli
sandy,13.4,Nashik,111077,medium,onion
sandy,7.3,Lucknow,93346,medium,rice
sandy,5.3,Jaipur,26742,medium,groundnut
loamy,7.9,Nashik,67072,medium,soybean
sandy,9.1,Pune,22176,high,millet
red,10.9,Vijayawada,47090,high,groundnut
clay,10.8,Lucknow,105045,high,maize
red,4.2,Jaipur,30400,low,groundnut
loamy,9.0,Vijayawada,96022,high,tomato
loamy,8.3,Delhi,70737,medium,potato
loamy,16.4,Warangal,105530,high,maize
loamy,11.7,Jaipur,119660,medium,wheat
loamy,14.8,Nashik,149296,high,tomato
black,10.0,Warangal,94798,medium,cotton
loamy,11.3,Nashik,121142,medium,soybean
red,5.9,Vijayawada,92123,medium,chilli
red,11.0,Vijayawada,133254,medium,chilli
loamy,2.3,Vijayawada,17834,medium,onion
loamy,10.7,Hyderabad,94243,medium,soybean
loamy,10.6,Nashik,110432,medium,soybean
sandy,14.0,Vijayawada,47740,medium,onion
loamy,18.8,Vijayawada,158401,high,tomato
red,18.6,Bengaluru,282109,medium,chilli
red,13.3,Bengaluru,105439,medium,chilli
loamy,9.6,Pune,45970,medium,potato
loamy,5.4,Bengaluru,41179,medium,maize
red,18.1,Delhi,132749,high,groundnut
clay,10.7,Vijayawada,133037,high,rice
loamy,1.3,Nashik,15137,low,tomato
loamy,7.3,Pune,64660,medium,potato
red,13.2,Bengaluru,111262,medium,chilli
loamy,6.9,Vijayawada,59836,medium,onion
loamy,10.2,Pune,59541,medium,onion
loamy,17.2,Hyderabad,249324,high,rice
red,16.6,Nashik,269391,medium,cotton
loamy,17.6,Pune,190977,medium,onion
black,6.0,Hyderabad,40764,high,maize
loamy,9.1,Lucknow,105083,medium,potato
sandy,10.1,Bengaluru,39216,medium,groundnut
loamy,14.4,Delhi,180434,medium,potato
loamy,19.3,Pune,90408,high,maize
black,14.4,Nashik,220746,medium,cotton
sandy,17.2,Jaipur,85425,low,groundnut
red,16.1,Pune,58307,medium,millet
loamy,8.4,Pune,89925,medium,rice
loamy,18.7,Delhi,212877,medium,wheat
black,4.1,Pune,29546,medium,soybean
loamy,17.9,Warangal,145151,high,maize
loamy,2.1,Pune,21141,medium,wheat
black,19.9,Nashik,137031,medium,soybean
loamy,19.9,Delhi,137138,high,soybean
black,18.7,Hyderabad,305097,medium,cotton
clay,8.2,Hyderabad,115087,high,rice
loamy,3.7,Delhi,35956,medium,potato
sandy,17.1,Jaipur,37791,medium,millet
loamy,14.8,Warangal,56864,high,maize
loamy,17.4,Bengaluru,125481,high,tomato
black,6.2,Nashik,64084,medium,soybean
loamy,17.2,Vijayawada,117324,high,rice
red,8.3,Delhi,19456,low,millet
loamy,13.2,Lucknow,140912,medium,potato
loamy,9.3,Hyderabad,57633,medium,soybean
clay,17.3,Hyderabad,54882,high,groundnut
loamy,19.6,Pune,114322,medium,onion
red,18.3,Warangal,71768,medium,groundnut
red,18.6,Pune,205704,medium,cotton
sandy,16.8,Nashik,103488,medium,groundnut
loamy,12.2,Bengaluru,90853,high,maize
sandy,6.4,Delhi,13384,low,millet
loamy,14.3,Lucknow,182107,medium,potato
sandy,5.6,Pune,30867,low,millet
sandy,9.2,Jaipur,31513,medium,groundnut
loamy,2.8,Pune,16848,medium,onion
loamy,9.6,Nashik,56106,medium,soybean
loamy,5.6,Vijayawada,76039,high,rice
loamy,2.0,Jaipur,10320,medium,wheat
red,7.2,Nashik,123223,medium,cotton
loamy,8.7,Hyderabad,79742,medium,maize
loamy,11.8,Delhi,120253,medium,potato
clay,3.7,Hyderabad,37372,medium,rice
clay,19.6,Hyderabad,119438,low,maize
loamy,1.5,Hyderabad,9713,medium,maize
loamy,6.8,Warangal,72915,medium,chilli
black,8.2,Pune,104681,medium,cotton
loamy,13.9,Lucknow,140334,medium,wheat
red,16.3,Pune,75299,low,millet
black,9.2,Nashik,81190,medium,soybean
sandy,13.1,Jaipur,76839,medium,groundnut
loamy,10.0,Pune,107254,medium,potato
black,8.0,Pune,109422,medium,cotton
sandy,16.0,Delhi,79670,medium,millet
red,15.9,Vijayawada,149129,medium,chilli
red,18.6,Jaipur,68176,medium,millet
loamy,14.3,Bengaluru,139156,medium,tomato
loamy,18.3,Nashik,197570,medium,tomato
loamy,4.0,Nashik,45760,high,tomato
black,5.0,Lucknow,44719,low,potato
red,8.8,Warangal,147535,medium,chilli
loamy,15.3,Pune,123899,medium,wheat
loamy,2.6,Nashik,28401,medium,onion
red,5.7,Bengaluru,74408,high,tomato
black,4.2,Delhi,28444,low,potato
clay,11.6,Delhi,121129,high,rice
black,8.6,Warangal,40717,medium,maize
red,6.3,Hyderabad,65588,medium,cotton
loamy,4.9,Hyderabad,30661,high,maize
red,16.6,Nashik,135266,medium,cotton
sandy,18.3,Jaipur,131899,low,groundnut
sandy,14.0,Warangal,103675,medium,groundnut
sandy,19.2,Vijayawada,123916,medium,onion
loamy,6.2,Pune,51063,medium,wheat
black,6.2,Pune,40410,medium,soybean
black,2.9,Bengaluru,27800,medium,potato
red,19.1,Pune,136782,high,rice
loamy,3.0,Nashik,26662,medium,tomato
red,6.9,Warangal,43652,high,rice
sandy,17.2,Lucknow,144755,low,maize
loamy,3.3,Delhi,27159,medium,wheat
red,7.1,Nashik,66859,medium,cotton
loamy,11.3,Pune,71264,medium,wheat
clay,3.2,Bengaluru,22823,high,rice
loamy,9.8,Warangal,47892,high,maize
loamy,11.1,Hyderabad,83944,medium,rice
loamy,12.5,Bengaluru,112300,medium,chilli
loamy,12.5,Bengaluru,126120,high,tomato
black,3.1,Hyderabad,37056,medium,cotton
loamy,6.4,Nashik,57529,medium,tomato
loamy,8.8,Vijayawada,77920,high,rice
loamy,16.5,Warangal,219915,medium,chilli
red,18.0,Pune,94608,low,millet
clay,12.1,Vijayawada,199688,medium,rice
loamy,10.6,Nashik,80121,medium,soybean
black,12.9,Nashik,73457,medium,soybean
red,10.6,Jaipur,46597,medium,millet
